close,high,low,open,time,volumefrom,volumeto
6473.06,6473.06,6470.95,6471.21,1536925380,84.88,553247.14
6473.88,6473.93,6473.06,6473.06,1536925440,78.22,510724.45
6473.82,6473.89,6473.72,6473.86,1536925500,95.58,623599.26
6473.34,6473.88,6473.34,6473.82,1536925560,24.39,159042.01
6473.7,6473.7,6472.97,6473.62,1536925620,72.78,473821.41
6475.11,6475.11,6473.7,6473.7,1536925680,98.48,639737.46
6476.13,6476.4,6475.52,6475.52,1536925740,21.93,141807.42
6476.15,6476.18,6476.09,6476.13,1536925800,19.79,127919.42
6477.34,6477.43,6476.08,6476.15,1536925860,22.56,146283.02
6476.37,6477.34,6476.15,6477.34,1536925920,18.56,119981.2
6476.49,6476.49,6476.36,6476.37,1536925980,12.62,81631.55
6477.53,6477.59,6476.43,6476.49,1536926040,13.64,88232.82
6477.06,6477.61,6477.06,6477.53,1536926100,20.48,132816.49
6471.53,6477.1,6471.52,6477.07,1536926160,67.68,438013.03
6471.51,6471.57,6470.81,6471.53,1536926220,29.41,190551.08
6470.6,6471.96,6470.59,6471.51,1536926280,30.07,194892.52
6469.77,6471.42,6469.04,6470.79,1536926340,53.95,350708.35
6469.41,6469.8,6469.25,6469.77,1536926400,20.77,134822.02
6468.78,6469.56,6468.2,6469.35,1536926460,13.8,89645.5
6465.41,6468.79,6464.49,6468.79,1536926520,34.23,222491.43
6463.88,6465.59,6463.87,6465.39,1536926580,14.76,96513.04
6459.88,6463.9,6459.88,6463.89,1536926640,39.8,257008.85
6465.09,6465.13,6459.62,6459.88,1536926700,38.02,245410.69
6466.94,6466.94,6464.88,6465.39,1536926760,23.23,149783.05
6468.38,6468.39,6466.89,6466.94,1536926820,22.17,143272.23
6474.24,6474.33,6468.49,6468.49,1536926880,27.64,178702.54
6473.88,6474.99,6473.6,6474.24,1536926940,38.15,246718.91
6476.35,6476.83,6473.86,6473.88,1536927000,34.49,223194.62
6478.96,6479.0,6475.13,6476.38,1536927060,35.95,232950.0
6477.08,6479.01,6477.07,6479.01,1536927120,16.63,107627.88
6479.38,6479.64,6477.08,6477.08,1536927180,24.04,155345.58
6479.43,6479.87,6478.02,6479.38,1536927240,30.71,198988.69
6477.38,6479.78,6476.65,6479.4,1536927300,45.15,292077.88
6476.26,6478.17,6476.16,6477.38,1536927360,27.54,179223.35
6475.19,6476.26,6474.37,6476.26,1536927420,35.19,227522.57
6474.88,6475.21,6474.17,6475.19,1536927480,11.69,76080.53
6474.72,6475.18,6474.72,6474.94,1536927540,14.09,91043.87
6473.77,6475.12,6473.77,6474.67,1536927600,29.84,193075.08
6474.24,6474.35,6473.27,6473.76,1536927660,27.6,178391.43
6474.41,6474.65,6474.06,6474.24,1536927720,24.87,161254.37
6474.51,6474.53,6474.39,6474.45,1536927780,12.36,79991.61
6474.92,6476.12,6474.46,6474.51,1536927840,24.56,158976.74
6474.87,6474.93,6473.35,6474.92,1536927900,18.92,123196.66
6475.93,6476.17,6474.94,6474.96,1536927960,11.84,76583.08
6476.45,6477.03,6475.17,6475.93,1536928020,18.9,122298.4
6475.16,6476.49,6475.04,6476.45,1536928080,23.14,149181.41
6474.13,6475.25,6474.13,6475.16,1536928140,12.55,81285.03
6470.77,6474.13,6470.77,6474.13,1536928200,55.69,360151.66
6469.03,6470.8,6467.77,6470.4,1536928260,28.42,183727.25
6468.77,6469.03,6467.8,6469.03,1536928320,18.26,117954.76
6469.0,6469.0,6466.82,6468.77,1536928380,26.09,168522.13
6469.84,6470.59,6468.78,6469.0,1536928440,19.28,124625.93
6471.86,6471.86,6469.67,6469.96,1536928500,20.51,132814.35
6470.51,6471.77,6470.47,6471.7,1536928560,14.37,92900.95
6470.38,6470.74,6470.38,6470.51,1536928620,20.76,134293.99
6468.0,6470.38,6468.0,6470.38,1536928680,23.23,149687.65
6463.59,6468.1,6463.45,6468.05,1536928740,38.14,246429.07
6455.2,6463.59,6455.2,6463.59,1536928800,87.78,566727.84
6453.73,6455.2,6451.31,6455.2,1536928860,51.07,329463.26
6455.32,6455.35,6453.38,6453.73,1536928920,35.43,227968.18
6454.3,6455.71,6453.34,6455.32,1536928980,47.52,307863.56
6454.58,6454.58,6452.88,6454.3,1536929040,20.14,129786.87
6454.05,6454.67,6453.76,6454.58,1536929100,28.36,183466.19
6451.48,6454.03,6451.48,6454.03,1536929160,30.18,195070.27
6451.34,6452.01,6451.05,6451.77,1536929220,15.7,101365.72
6455.01,6455.82,6450.22,6451.34,1536929280,25.56,165384.66
6455.22,6455.22,6454.8,6455.01,1536929340,10.61,68636.8
6455.26,6455.3,6454.77,6455.22,1536929400,14.85,95764.5
6455.55,6455.63,6455.11,6455.26,1536929460,23.78,153328.93
6454.82,6455.59,6454.82,6455.55,1536929520,12.13,78109.55
6454.62,6455.23,6453.62,6454.82,1536929580,18.38,118986.48
6454.93,6455.21,6454.43,6454.62,1536929640,10.89,71040.67
6455.97,6456.01,6454.93,6454.93,1536929700,12.86,82902.49
6456.19,6456.19,6455.91,6455.97,1536929760,12.09,78056.74
6460.42,6461.23,6456.32,6456.32,1536929820,47.04,303470.26
6462.74,6464.52,6460.62,6460.68,1536929880,27.37,176795.73
6469.84,6469.84,6462.74,6462.74,1536929940,71.73,464031.41
6472.61,6472.75,6469.76,6469.84,1536930000,28.15,182148.59
6472.69,6473.32,6472.5,6472.61,1536930060,34.88,225685.76
6472.28,6473.31,6472.24,6472.69,1536930120,20.3,131302.02
6473.91,6474.38,6472.22,6472.28,1536930180,22.69,146729.15
6474.47,6474.58,6473.78,6473.91,1536930240,38.1,246475.8
6474.28,6474.62,6474.05,6474.47,1536930300,17.46,113005.28
6473.78,6474.31,6473.38,6474.21,1536930360,16.86,108943.59
6470.68,6473.79,6470.67,6473.78,1536930420,15.39,99378.93
6469.99,6470.68,6469.97,6470.68,1536930480,42.26,273289.12
6468.06,6469.99,6468.06,6469.99,1536930540,29.19,189601.77
6468.54,6470.44,6466.1,6468.06,1536930600,62.88,406342.82
6472.16,6473.54,6468.54,6468.54,1536930660,68.97,447010.72
6470.57,6473.39,6469.82,6472.16,1536930720,22.47,147128.41
6470.12,6470.85,6469.27,6470.57,1536930780,14.44,96371.93
6469.52,6470.12,6468.44,6470.12,1536930840,11.17,73411.41
6469.45,6469.56,6468.23,6469.52,1536930900,8.95,57867.05
6467.82,6469.45,6467.82,6469.45,1536930960,18.84,121925.69
6467.63,6467.96,6466.97,6467.82,1536931020,17.16,110940.68
6465.91,6467.64,6465.79,6467.63,1536931080,20.89,134930.87
6463.55,6465.91,6462.78,6465.91,1536931140,33.58,216739.72
6462.8,6463.79,6462.79,6463.55,1536931200,21.75,140103.07
6464.14,6464.14,6462.65,6462.8,1536931260,27.92,180202.61
6464.6,6464.7,6462.92,6464.14,1536931320,29.43,189979.63
6464.6,6464.69,6464.55,6464.6,1536931380,17.3,111751.75
6463.68,6464.78,6463.29,6464.6,1536931440,16.51,106570.53
6464.31,6464.35,6463.68,6463.68,1536931500,11.84,76540.01
6455.83,6464.35,6454.99,6464.31,1536931560,66.92,431876.81
6441.02,6455.83,6431.16,6455.83,1536931620,396.03,2551629.32
6442.64,6444.79,6440.55,6441.14,1536931680,79.74,513462.13
6445.87,6447.18,6443.9,6443.9,1536931740,60.83,392248.84
6451.62,6453.23,6445.87,6445.87,1536931800,105.77,681626.03
6453.56,6453.56,6451.62,6451.62,1536931860,36.57,236204.11
6452.07,6453.76,6452.06,6453.56,1536931920,46.72,301985.33
6447.8,6452.12,6447.8,6452.07,1536931980,35.38,228599.35
6443.11,6447.8,6441.39,6447.8,1536932040,67.47,434735.93
6449.61,6449.69,6443.11,6443.11,1536932100,49.11,316853.74
6450.94,6450.94,6448.99,6449.61,1536932160,19.04,123234.06
6461.72,6461.72,6450.94,6450.94,1536932220,194.86,1257172.86
6458.4,6462.51,6458.06,6462.34,1536932280,42.14,272001.47
6455.62,6458.4,6454.79,6458.4,1536932340,38.1,245962.37
6456.91,6456.91,6455.54,6455.59,1536932400,15.05,97057.45
6456.4,6460.06,6456.4,6456.91,1536932460,33.41,215738.78
6456.22,6456.53,6456.2,6456.4,1536932520,13.95,90204.36
6456.24,6457.83,6456.07,6456.22,1536932580,31.74,205514.99
6456.2,6456.26,6456.05,6456.24,1536932640,20.45,132414.13
6459.71,6460.01,6456.16,6456.16,1536932700,40.82,265877.18
6459.28,6459.87,6459.28,6459.71,1536932760,16.69,107876.89
6464.14,6464.14,6459.28,6459.28,1536932820,46.64,301490.93
6463.94,6464.8,6463.94,6464.14,1536932880,16.09,104413.46
6463.47,6464.84,6463.1,6463.94,1536932940,22.22,143417.71
6457.99,6463.15,6457.99,6463.15,1536933000,15.93,102974.94
6456.35,6457.77,6456.35,6457.77,1536933060,14.97,96621.6
6457.27,6457.27,6456.25,6456.35,1536933120,19.74,127383.19
6457.35,6457.42,6457.24,6457.27,1536933180,11.34,74131.16
6458.82,6458.88,6457.35,6457.35,1536933240,10.44,67712.47
6459.3,6460.19,6458.42,6458.82,1536933300,24.4,157615.27
6457.73,6460.04,6457.73,6459.56,1536933360,54.6,352192.95
6455.53,6457.83,6455.4,6457.73,1536933420,22.12,142801.51
6455.27,6455.55,6453.72,6455.53,1536933480,15.27,99207.38
6455.19,6455.42,6455.19,6455.27,1536933540,22.7,146932.44
6455.52,6455.78,6454.82,6454.82,1536933600,16.84,108932.58
6446.29,6455.52,6446.25,6455.52,1536933660,60.47,390323.78
6450.35,6450.51,6446.94,6447.1,1536933720,38.61,248853.04
6448.37,6450.35,6448.37,6450.35,1536933780,24.71,159215.09
6446.35,6448.46,6445.9,6448.35,1536933840,38.66,249002.14
6449.24,6449.24,6446.0,6446.11,1536933900,22.27,143295.2
6447.13,6449.57,6447.13,6449.24,1536933960,14.36,92138.81
6446.25,6447.2,6446.25,6447.2,1536934020,21.04,135720.43
6448.04,6448.04,6446.16,6446.17,1536934080,10.81,69508.05
6448.17,6448.17,6447.76,6448.04,1536934140,15.45,99581.92
6446.43,6448.23,6446.43,6448.23,1536934200,22.58,145641.51
6442.45,6446.38,6439.71,6446.38,1536934260,89.98,580279.59
6442.16,6442.34,6442.14,6442.34,1536934320,18.0,116278.14
6442.88,6442.9,6442.17,6442.17,1536934380,23.26,149676.03
6440.87,6442.88,6440.84,6442.88,1536934440,58.88,378803.37
6446.92,6447.15,6440.87,6440.87,1536934500,52.68,338989.05
6447.82,6448.02,6446.51,6446.92,1536934560,21.29,137431.13
6447.88,6448.21,6447.44,6447.82,1536934620,18.25,117786.95
6448.31,6448.31,6447.57,6447.88,1536934680,18.79,120977.23
6449.45,6449.45,6447.74,6448.31,1536934740,19.69,126929.35
6451.38,6451.38,6449.29,6449.31,1536934800,22.67,146097.9
6450.48,6451.69,6450.44,6451.38,1536934860,16.46,106610.31
6452.47,6452.47,6450.48,6450.48,1536934920,29.01,187179.7
6452.6,6453.18,6452.31,6452.47,1536934980,14.29,92204.41
6456.46,6456.46,6451.91,6452.6,1536935040,54.37,350909.81
6458.11,6459.27,6456.43,6456.46,1536935100,73.36,473483.74
6457.82,6458.13,6457.09,6458.11,1536935160,99.04,639436.29
6452.31,6457.94,6452.31,6457.82,1536935220,91.17,588041.63
6451.18,6452.62,6450.84,6452.3,1536935280,40.62,261987.04
6451.46,6452.03,6451.18,6451.18,1536935340,18.76,121493.67
6452.81,6453.3,6451.46,6451.46,1536935400,89.13,574845.4
6452.66,6453.16,6452.02,6452.85,1536935460,41.1,264832.76
6450.9,6452.63,6450.9,6452.63,1536935520,42.33,272952.63
6450.62,6451.38,6450.62,6450.9,1536935580,32.28,208613.18
6451.21,6451.36,6451.08,6451.13,1536935640,15.68,101365.59
6451.16,6451.16,6450.64,6450.66,1536935700,17.72,114503.09
6450.88,6451.35,6450.59,6451.35,1536935760,14.68,94455.09
6450.98,6450.98,6450.37,6450.88,1536935820,16.26,105270.78
6453.61,6453.7,6450.97,6450.97,1536935880,21.55,139265.23
6457.07,6457.07,6453.61,6453.61,1536935940,23.09,150080.43
6455.97,6457.39,6455.97,6457.07,1536936000,26.41,170645.92
6456.06,6456.1,6455.64,6455.97,1536936060,16.75,108251.48
6456.61,6456.62,6455.64,6456.06,1536936120,18.55,119661.19
6456.97,6457.11,6456.46,6456.61,1536936180,17.45,112552.85
6452.99,6456.97,6452.99,6456.97,1536936240,32.81,211803.05
6447.74,6453.27,6447.63,6452.99,1536936300,32.01,206588.23
6447.69,6447.75,6445.67,6447.74,1536936360,12.27,79382.07
6448.68,6448.81,6447.69,6447.69,1536936420,20.42,132184.51
6446.68,6448.97,6446.68,6448.68,1536936480,22.64,147900.17
6445.32,6445.97,6443.61,6445.97,1536936540,31.06,202499.25
6445.32,6445.69,6444.54,6445.32,1536936600,9.46,61121.46
6445.04,6445.34,6444.24,6445.32,1536936660,16.98,110443.05
6446.78,6446.78,6445.04,6445.04,1536936720,36.95,239147.59
6451.42,6451.42,6446.94,6446.94,1536936780,33.24,214410.98
6455.5,6456.16,6450.19,6451.27,1536936840,18.63,119833.5
6455.64,6456.01,6455.47,6455.5,1536936900,9.7,62541.73
6456.55,6456.57,6455.63,6455.64,1536936960,12.14,78354.25
6456.33,6456.59,6456.26,6456.56,1536937020,14.06,90817.49
6456.65,6456.66,6456.33,6456.33,1536937080,8.11,52470.21
6457.01,6457.14,6456.43,6456.65,1536937140,29.19,188110.94
6457.51,6458.45,6456.76,6457.08,1536937200,80.79,521655.52
6457.67,6458.32,6457.56,6458.22,1536937260,23.84,155405.92
